161
100
18 18  18 17  19 18  16 19  14 19  14 16  14 15  13 16  13 15  13 14  13 13  16 15  11 16  11 17  10 16  10 18  10 14  9 17  9 15  8 18  8 16  7 16  7 13  6 13  6 12  5 12  7 11  5 10  3 12  2 13  2 14  1 13  1 11  2 10  2 9  3 9  7 8  8 9  9 9  9 10  8 7  10 8  12 8  11 10  7 5  6 5  5 6  5 4  4 4  4 5  3 4  3 3  4 7  3 1  3 0  2 1  2 17  3 17  3 16  0 17  0 15  17 13  18 13  18 12  18 10  17 9  1 7  0 7  15 12  14 10  15 8  16 6  17 5  18 5  18 3  19 4  16 3  16 2  15 3  14 3  13 3  12 3  12 4  15 1  14 5  14 6  13 1  11 2  10 2  9 2  8 2  10 0  9 0  7 1  7 0  6 1  19 7  18 0  19 0  5 19  
119
3 1  2 1 
3 0  3 1 
3 3  3 1 
3 4  3 3 
4 4  3 4 
4 5  4 4 
5 4  4 4 
4 7  4 5 
5 6  5 4 
6 5  5 5 
5 5  5 6 
7 5  6 5 
7 8  7 5 
8 9  7 9 
7 9  7 8 
7 11  7 8 
8 7  8 9 
9 9  8 9 
10 8  10 9 
10 9  9 9 
9 10  9 9 
12 8  10 8 
11 10  9 10 
7 13  7 11 
6 13  7 13 
7 16  7 13 
6 12  6 13 
5 12  6 12 
3 12  5 12 
5 10  5 12 
2 13  3 13 
3 13  3 12 
1 13  2 13 
2 14  2 13 
1 11  1 13 
2 10  2 11 
2 11  1 11 
2 9  2 10 
1 7  1 9 
1 9  2 9 
3 9  2 9 
0 7  1 7 
2 17  2 14 
0 17  2 17 
3 17  2 17 
0 15  0 17 
5 19  3 19 
3 19  3 17 
3 16  3 17 
8 16  7 16 
8 18  8 16 
9 17  8 17 
8 17  8 18 
9 15  9 17 
10 16  10 17 
10 17  9 17 
10 14  10 16 
10 18  10 16 
11 16  10 16 
11 17  11 16 
13 16  11 16 
13 15  13 16 
14 16  13 16 
13 14  13 15 
13 13  13 14 
14 15  14 16 
14 19  14 16 
16 15  14 15 
17 13  16 13 
16 13  16 15 
15 12  15 13 
15 13  17 13 
18 13  17 13 
14 10  15 10 
15 10  15 12 
15 8  15 10 
15 10  14 10 
16 6  16 8 
16 8  15 8 
17 5  17 6 
17 6  16 6 
18 5  17 5 
19 4  19 5 
19 5  18 5 
18 3  18 5 
19 7  19 4 
18 0  18 3 
16 3  18 3 
19 0  18 0 
15 3  16 3 
16 2  16 3 
15 1  15 3 
14 3  15 3 
14 5  14 3 
13 3  14 3 
14 6  14 5 
13 1  13 3 
12 3  13 3 
11 2  11 3 
11 3  12 3 
12 4  12 3 
10 2  11 2 
10 0  10 2 
9 2  10 2 
9 0  10 0 
8 2  9 2 
7 1  7 2 
7 2  8 2 
6 1  7 1 
7 0  7 1 
18 12  18 13 
18 10  18 12 
17 9  17 10 
17 10  18 10 
16 19  14 19 
18 18  18 19 
18 19  16 19 
19 18  18 18 
18 17  18 18 
