780
100
67 42  70 41  67 43  68 47  72 47  63 41  58 41  55 41  58 46  59 47  73 38  77 41  62 53  58 60  67 59  69 66  72 73  76 74  78 68  82 67  82 66  64 74  64 75  57 76  62 83  53 82  91 68  97 68  97 57  99 80  62 98  58 94  76 98  81 97  83 85  91 87  49 68  42 38  41 53  41 58  39 57  35 64  31 54  29 51  34 47  29 70  28 81  28 88  24 90  32 91  34 89  33 79  43 90  41 98  21 76  14 81  11 78  7 79  7 80  4 75  4 88  2 89  6 94  10 98  14 94  19 64  17 63  16 66  9 63  28 36  23 34  22 39  21 30  14 31  8 30  12 20  63 24  61 24  67 22  77 20  81 24  86 28  91 29  88 33  73 13  67 8  65 1  58 2  61 11  51 12  88 49  93 15  91 1  30 19  31 14  26 14  27 1  18 6  4 4  0 43  
179
61 11  61 12 
61 12  51 12 
67 8  67 11 
67 11  61 11 
65 1  65 8 
65 8  67 8 
73 13  67 13 
67 13  67 8 
58 2  65 2 
65 2  65 1 
77 20  73 20 
73 20  73 13 
81 24  77 24 
77 24  77 20 
67 22  67 20 
67 20  77 20 
86 28  81 28 
81 28  81 24 
88 33  88 28 
88 28  86 28 
91 29  91 28 
91 28  86 28 
88 49  88 33 
93 15  91 15 
91 15  91 29 
91 1  91 15 
91 15  93 15 
63 24  67 24 
67 24  67 22 
61 24  63 24 
63 41  63 24 
58 41  63 41 
67 42  67 41 
67 41  63 41 
58 46  58 41 
55 41  58 41 
59 47  58 47 
58 47  58 46 
62 53  59 53 
59 53  59 47 
58 60  62 60 
62 60  62 53 
67 59  67 60 
67 60  58 60 
69 66  67 66 
67 66  67 59 
72 73  69 73 
69 73  69 66 
64 74  64 73 
64 73  72 73 
76 74  76 73 
76 73  72 73 
64 75  64 74 
62 83  62 75 
62 75  64 75 
57 76  57 75 
57 75  64 75 
62 98  62 83 
76 98  62 98 
58 94  62 94 
62 94  62 98 
81 97  81 98 
81 98  76 98 
83 85  83 97 
83 97  81 97 
91 87  83 87 
83 87  83 85 
49 68  49 76 
49 76  57 76 
53 82  53 76 
53 76  57 76 
78 68  76 68 
76 68  76 74 
82 67  82 68 
82 68  78 68 
91 68  82 68 
82 68  82 67 
82 66  82 67 
97 68  91 68 
99 80  97 80 
97 80  97 68 
97 57  97 68 
42 38  42 41 
42 41  55 41 
41 53  42 53 
42 53  42 38 
41 58  41 53 
39 57  41 57 
41 57  41 58 
31 54  31 57 
31 57  39 57 
35 64  35 57 
35 57  39 57 
29 51  29 54 
29 54  31 54 
28 36  29 36 
29 36  29 51 
34 47  29 47 
29 47  29 51 
30 19  30 36 
30 36  28 36 
23 34  23 36 
23 36  28 36 
31 14  30 14 
30 14  30 19 
26 14  31 14 
27 1  27 14 
27 14  26 14 
18 6  27 6 
27 6  27 1 
4 4  4 6 
4 6  18 6 
21 30  21 34 
21 34  23 34 
22 39  23 39 
23 39  23 34 
14 31  21 31 
21 31  21 30 
12 20  12 31 
12 31  14 31 
8 30  8 31 
8 31  14 31 
0 43  8 43 
8 43  8 30 
29 70  35 70 
35 70  35 64 
28 81  28 70 
28 70  29 70 
21 76  28 76 
28 76  28 81 
33 79  28 79 
28 79  28 81 
28 88  28 81 
19 64  19 76 
19 76  21 76 
14 81  14 76 
14 76  21 76 
17 63  17 64 
17 64  19 64 
9 63  17 63 
16 66  17 66 
17 66  17 63 
11 78  14 78 
14 78  14 81 
7 79  7 78 
7 78  11 78 
4 75  7 75 
7 75  7 79 
7 80  7 79 
4 88  7 88 
7 88  7 80 
6 94  6 88 
6 88  4 88 
2 89  4 89 
4 89  4 88 
10 98  10 94 
10 94  6 94 
14 94  10 94 
10 94  10 98 
32 91  28 91 
28 91  28 88 
24 90  28 90 
28 90  28 88 
34 89  34 91 
34 91  32 91 
43 90  34 90 
34 90  34 89 
41 98  41 90 
41 90  43 90 
67 43  67 42 
70 41  67 41 
67 41  67 42 
68 47  67 47 
67 47  67 43 
72 47  68 47 
73 38  73 41 
73 41  70 41 
77 41  73 41 
73 41  73 38 
